edge_type,property,count
HAS_EXPERTISE,description_source,1005
HAS_EXPERTISE,description_upgrade_pending,1005
HAS_EXPERTISE,evidence,4183
HAS_EXPERTISE,expertise_strength,4183
HAS_EXPERTISE,identified_as,4183
HAS_EXPERTISE,match_score,4183
HAS_EXPERTISE,match_type,4183
HAS_EXPERTISE,recency,4183
HAS_EXPERTISE,updated_at,4183
HAS_EXPERTISE,uuid,4183
HAS_EXPERTISE,weight,4183
HAS_INVESTMENT_THESIS,created_at,422
HAS_INVESTMENT_THESIS,description,422
HAS_INVESTMENT_THESIS,description_generated_at,136
HAS_INVESTMENT_THESIS,description_input_hash,136
HAS_INVESTMENT_THESIS,description_provenance,136
HAS_INVESTMENT_THESIS,description_source,136
HAS_INVESTMENT_THESIS,description_upgrade_pending,136
HAS_INVESTMENT_THESIS,name,422
HAS_INVESTMENT_THESIS,updated_at,422
HAS_INVESTMENT_THESIS,uuid,422
HAS_SUBDOMAIN,created_at,3559
HAS_SUBDOMAIN,description,3559
HAS_SUBDOMAIN,description_generated_at,3559
HAS_SUBDOMAIN,description_input_hash,716
HAS_SUBDOMAIN,description_provenance,716
HAS_SUBDOMAIN,description_source,716
HAS_SUBDOMAIN,description_upgrade_pending,716
HAS_SUBDOMAIN,updated_at,3559
HAS_SUBDOMAIN,uuid,3559
HAS_SUBDOMAIN,weight,3559
IMPRINT_OF,created_at,4
IMPRINT_OF,description,4
IMPRINT_OF,description_generated_at,4
IMPRINT_OF,source,4
IMPRINT_OF,updated_at,4
IMPRINT_OF,uuid,4
IMPRINT_OF,weight,4
INVESTED_IN,created_at,810
INVESTED_IN,date_basis,9
INVESTED_IN,description,810
INVESTED_IN,description_generated_at,135
INVESTED_IN,description_input_hash,135
INVESTED_IN,description_provenance,135
INVESTED_IN,description_source,135
INVESTED_IN,description_upgrade_pending,135
INVESTED_IN,investment_date,9
INVESTED_IN,is_lead_investor,810
INVESTED_IN,updated_at,810
INVESTED_IN,uuid,810
INVESTED_IN,weight,810
INVESTMENT_PARTNER_AT,created_at,134
INVESTMENT_PARTNER_AT,description,134
INVESTMENT_PARTNER_AT,description_generated_at,17
INVESTMENT_PARTNER_AT,description_input_hash,17
INVESTMENT_PARTNER_AT,description_provenance,17
INVESTMENT_PARTNER_AT,description_source,17
INVESTMENT_PARTNER_AT,description_upgrade_pending,17
INVESTMENT_PARTNER_AT,updated_at,134
INVESTMENT_PARTNER_AT,uuid,134
INVESTMENT_PARTNER_AT,weight,134
INVESTMENT_PARTNER_IN,created_at,156
INVESTMENT_PARTNER_IN,description,156
INVESTMENT_PARTNER_IN,description_generated_at,21
INVESTMENT_PARTNER_IN,description_input_hash,21
INVESTMENT_PARTNER_IN,description_provenance,21
INVESTMENT_PARTNER_IN,description_source,21
INVESTMENT_PARTNER_IN,description_upgrade_pending,21
INVESTMENT_PARTNER_IN,updated_at,156
INVESTMENT_PARTNER_IN,uuid,156
INVESTMENT_PARTNER_IN,weight,156
IN_COUNTRY,created_at,514
IN_COUNTRY,description,514
IN_COUNTRY,description_generated_at,4
IN_COUNTRY,description_input_hash,4
IN_COUNTRY,description_provenance,4
IN_COUNTRY,description_source,4
IN_COUNTRY,description_upgrade_pending,4
IN_COUNTRY,name,514
IN_COUNTRY,updated_at,514
IN_COUNTRY,uuid,514
IN_COUNTRY,weight,514
IN_GAME_SERIES,active,3
IN_GAME_SERIES,chosen_fact_ids,3
IN_GAME_SERIES,created_at,3
IN_GAME_SERIES,description,3
IN_GAME_SERIES,description_generated_at,3
IN_GAME_SERIES,description_input_hash,1
IN_GAME_SERIES,description_provenance,1
IN_GAME_SERIES,description_source,1
IN_GAME_SERIES,description_upgrade_pending,1
IN_GAME_SERIES,evidence_ids,3
IN_GAME_SERIES,excluded_from_scoring,3
IN_GAME_SERIES,layer,3
IN_GAME_SERIES,membership_record_ids,3
IN_GAME_SERIES,policy_version,3
IN_GAME_SERIES,projection_revision,3
IN_GAME_SERIES,series_ordinal,1
IN_GAME_SERIES,source,3
IN_GAME_SERIES,source_urls,3
IN_GAME_SERIES,updated_at,3
IN_GAME_SERIES,uuid,3
IN_GAME_SERIES,weight,3
IN_REGION,created_at,2179
IN_REGION,description,2179
IN_REGION,description_generated_at,28
IN_REGION,description_input_hash,28
IN_REGION,description_provenance,28
IN_REGION,description_source,28
IN_REGION,description_upgrade_pending,28
IN_REGION,name,2179
IN_REGION,updated_at,2179
IN_REGION,uuid,2179
IN_REGION,weight,2179
ISSUED_BY,created_at,31
ISSUED_BY,description,6
ISSUED_BY,description_generated_at,6
ISSUED_BY,description_input_hash,6
ISSUED_BY,description_provenance,6
ISSUED_BY,description_source,6
ISSUED_BY,description_upgrade_pending,6
ISSUED_BY,updated_at,31
ISSUED_BY,uuid,31
ISSUED_BY,weight,31
LEAD_INVESTED_IN,created_at,160
LEAD_INVESTED_IN,description,160
LEAD_INVESTED_IN,description_generated_at,23
LEAD_INVESTED_IN,description_input_hash,23
LEAD_INVESTED_IN,description_provenance,23
LEAD_INVESTED_IN,description_source,23
LEAD_INVESTED_IN,description_upgrade_pending,23
LEAD_INVESTED_IN,is_lead_investor,160
LEAD_INVESTED_IN,updated_at,160
LEAD_INVESTED_IN,uuid,160
LEAD_INVESTED_IN,weight,160
LOCATED_IN,created_at,1417
LOCATED_IN,description,301
LOCATED_IN,description_generated_at,301
LOCATED_IN,description_input_hash,265
LOCATED_IN,description_provenance,265
LOCATED_IN,description_source,301
LOCATED_IN,description_upgrade_pending,265
LOCATED_IN,location_writer,301
LOCATED_IN,source_address_ids,301
LOCATED_IN,updated_at,309
LOCATED_IN,uuid,1417
LOCATED_IN,valid_from,1417
LOCATED_IN,weight,1417
MARRIED_TO,confidence,3
MARRIED_TO,created_at,3
MARRIED_TO,description,3
MARRIED_TO,description_generated_at,3
MARRIED_TO,description_input_hash,1
MARRIED_TO,description_provenance,1
MARRIED_TO,description_source,1
MARRIED_TO,description_upgrade_pending,1
MARRIED_TO,evidence,3
MARRIED_TO,evidence_refs,3
MARRIED_TO,provider,3
MARRIED_TO,relationship,3
MARRIED_TO,source_names,3
MARRIED_TO,source_published,3
MARRIED_TO,source_urls,3
MARRIED_TO,updated_at,3
MARRIED_TO,uuid,3
MARRIED_TO,valid_from,2
MARRIED_TO,weight,3
MEMBER_OF,created_at,66
MEMBER_OF,description,66
MEMBER_OF,description_generated_at,64
MEMBER_OF,role,13
MEMBER_OF,seniority_level,2
MEMBER_OF,source,66
MEMBER_OF,title,2
MEMBER_OF,total_roles,2
MEMBER_OF,updated_at,66
MEMBER_OF,uuid,66
MEMBER_OF,valid_from,2
MEMBER_OF,valid_to,1
MEMBER_OF,weight,66
MENTOR,confidence,2
MENTOR,created_at,2
MENTOR,description,2
MENTOR,description_generated_at,2
MENTOR,evidence,2
MENTOR,evidence_refs,2
MENTOR,provider,2
MENTOR,relationship,2
MENTOR,source_names,2
MENTOR,source_published,2
MENTOR,source_urls,2
MENTOR,updated_at,2
MENTOR,uuid,2
MENTOR,valid_from,2
MENTOR,valid_to,1
MENTOR,via_domain,2
MENTOR,via_entity_uuid,1
MENTOR,via_key,2
MENTOR,via_organization,2
MENTOR,weight,2
NOMINATED_FOR,active,1
NOMINATED_FOR,award_result,1
NOMINATED_FOR,chosen_fact_ids,1
NOMINATED_FOR,created_at,321
NOMINATED_FOR,description,1
NOMINATED_FOR,description_generated_at,1
NOMINATED_FOR,evidence_ids,1
NOMINATED_FOR,excluded_from_scoring,1
NOMINATED_FOR,layer,1
